"Ctl","Disease"
"CCIS94417875ST.3.0","CCIS41548810ST.4.0"
"CCIS21126322ST.4.0","CCIS48725289ST.4.0"
"CCIS03473770ST.4.0","CCIS55230578ST.4.0"
"CCIS11354283ST.4.0","CCIS76845094ST.20.0"
"CCIS07539127ST.4.0","CCIS50148151ST.4.0"
"CCIS95409808ST.4.0","CCIS38765456ST.20.0"
"CCIS50471204ST.4.0","CCIS82146115ST.4.0"
"CCIS88007743ST.4.0","CCIS06260551ST.3.0"
"CCIS05314658ST.4.0","CCIS47284573ST.4.0"
"CCIS45793747ST.4.0","CCIS11015875ST.4.0"
"CCIS78100604ST.4.0","CCIS17669415ST.4.0"
"CCIS16561622ST.4.0","CCIS53043478ST.4.0"
"CCIS82507866ST.3.0","CCIS21278152ST.4.0"
"CCIS63910149ST.4.0","CCIS53355328ST.4.0"
"CCIS02856720ST.4.0","CCIS41222843ST.4.0"
"CCIS07648107ST.4.0","CCIS62794166ST.4.0"
"CCIS09568613ST.4.0","CCIS61287323ST.4.0"
"CCIS15794887ST.4.0","CCIS77252613ST.4.0"
"CCIS79210440ST.3.0","CCIS98512455ST.4.0"
"CCIS45571137ST.3.0","CCIS62605362ST.3.0"
"CCIS00146684ST.4.0","CCIS33816588ST.4.0"
"CCIS64773582ST.4.0","CCIS02379307ST.4.0"
"CCIS16326685ST.4.0","CCIS98832363ST.4.0"
"CCIS02124300ST.4.0","CCIS52370277ST.4.0"
"CCIS81139242ST.4.0","CCIS81887263ST.4.0"
"CCIS36797902ST.4.0","CCIS72607085ST.4.0"
"CCIS16383318ST.4.0","CCIS91228662ST.4.0"
"CCIS98482370ST.3.0","CCIS14449628ST.4.0"
"CCIS27304052ST.3.0","CCIS46047672ST.4.0"
"CCIS80834637ST.4.0","CCIS71301801ST.4.0"
"CCIS90164298ST.4.0","CCIS22416007ST.4.0"
"CCIS32452666ST.4.0","CCIS22958137ST.20.0"
"CCIS44093303ST.4.0","CCIS87605453ST.4.0"
"CCIS51595129ST.4.0","CCIS87116798ST.4.0"
"CCIS71578391ST.4.0","CCIS83870198ST.4.0"
"CCIS48174381ST.4.0","CCIS59132091ST.4.0"
"CCIS00281083ST.3.0","CCIS84543192ST.4.0"
"CCIS11362406ST.4.0","CCIS65479369ST.4.0"
"CCIS93040568ST.20.0","CCIS85214191ST.3.0"
